Match ID 18Char,Activation_Month
a1v2J0000028pRvQAI,3
a1v2J000002uR0JQAU,4
a1v2J0000027NsOQAU,3
a1v2J0000027dtOQAQ,1
a1v2J0000028enKQAQ,4
a1v2J000002ACUBQA4,3
a1v2J000002uTnjQAE,7
a1v2J0000027tNzQAI,3
a1v2J0000028PciQAE,10
a1v2J000002esTYQAY,5
a1v2J0000028GltQAE,3
a1v2J000002uRlgQAE,10
a1v2J0000027UAeQAM,9
a1v2J0000027ogFQAQ,2
a1v2J0000028DktQAE,10
a1v2J000002uUBsQAM,1
a1v2J0000028MtYQAU,3
a1v2J0000028FvmQAE,1
a1v2J00000281ZgQAI,4
a1v2J000002ACf1QAG,4
a1v2J0000027tYAQAY,9
a1v2J000002fJvrQAE,6
a1v2J000003tjssQAA,8
a1v2J0000028rRMQAY,7
a1v2J0000027ViNQAU,10
a1v2J000003m4NhQAI,5
a1v2J000002ADm5QAG,1
a1v2J0000028FQ1QAM,1
a1v2J0000027XXAQA2,9
a1v2J0000027ui5QAA,11
a1v2J000002852lQAA,11
a1v2J0000028MCPQA2,6
a1v2J00000284lkQAA,3
a1v2J0000028HBzQAM,6
a1v2J0000028f1UQAQ,4
a1v2J000002AFgbQAG,6
a1v2J00000285GPQAY,2
a1v2J0000028BTsQAM,6
a1v2J0000028f5wQAA,3
a1v2J000002AEWgQAO,4
a1v2J0000028TBiQAM,2
a1v2J0000038WA9QAM,9
a1v2J0000027yFzQAI,1
a1v2J0000028elqQAA,4
a1v2J0000027Yo4QAE,1
a1v2J0000027vAsQAI,2
a1v2J0000027bhcQAA,1
a1v2J0000027aW3QAI,5
a1v2J0000027b6OQAQ,6
a1v2J0000028DERQA2,5
a1v2J0000028IusQAE,1
a1v2J000002AF8tQAG,6
a1v2J00000283VbQAI,8
a1v2J0000028AldQAE,3
a1v2J0000038CVBQA2,7
a1v2J00000284cZQAQ,1
a1v2J0000028SvNQAU,7
a1v2J0000028MX5QAM,9
a1v2J000002uRJ9QAM,6
a1v2J0000028UxaQAE,8
a1v2J0000027tYMQAY,6
a1v2J0000028ItJQAU,3
a1v2J0000027ynVQAQ,12
a1v2J000002eh53QAA,7
a1v2J0000028BuFQAU,2
a1v2J000002811EQAQ,3
a1v2J0000028LzbQAE,2
a1v2J0000027HE3QAM,3
a1v2J0000028JASQA2,4
a1v2J0000027w0sQAA,2
a1v2J0000028CKWQA2,8
a1v2J00000285eZQAQ,8
a1v2J0000028eSkQAI,5
a1v2J000002uU92QAE,11
a1v2J0000028ooUQAQ,3
a1v2J0000028As5QAE,1
a1v2J000002uSrAQAU,11
a1v2J000002egBZQAY,6
a1v2J000002fKriQAE,6
a1v2J000002ABLMQA4,1
a1v2J0000028ko7QAA,1
a1v2J0000027c62QAA,7
a1v2J00000286ZSQAY,7
a1v2J0000028ZYMQA2,7
a1v2J0000028MSyQAM,6
a1v2J000002uSlRQAU,6
a1v2J0000028ZWeQAM,4
a1v2J0000028nYNQAY,8
a1v2J00000282baQAA,4
a1v2J0000039wUlQAI,1
a1v2J0000028evXQAQ,4
a1v2J00000289yPQAQ,7
a1v2J0000028sALQAY,6
a1v2J0000028iaKQAQ,12
a1v2J000002egSuQAI,4
a1v2J0000038u6iQAA,10
a1v2J0000028e4YQAQ,5
a1v2J00000285ICQAY,5
a1v2J000002ADeWQAW,2
a1v2J0000028nu7QAA,8
a1v2J0000028QIaQAM,12
a1v2J0000027uilQAA,2
a1v2J0000028E3GQAU,8
a1v2J0000027sUQQAY,6
a1v2J00000285A9QAI,7
a1v2J000002859PQAQ,8
a1v2J000002807EQAQ,5
a1v2J0000027hlxQAA,11
a1v2J0000027rQ2QAI,6
a1v2J000003L91zQAC,10
a1v2J0000028lgDQAQ,8
a1v2J00000287MxQAI,12
a1v2J000002fNSHQA2,6
a1v2J0000027WkRQAU,7
a1v2J0000027u44QAA,2
a1vHt000004fbHkIAI,11
a1v2J0000041cjGQAQ,10
a1v2J000002uRbHQAU,9
a1v2J0000027u3qQAA,3
a1v2J0000027HCqQAM,8
a1v2J0000028d72QAA,11
a1v2J00000288KPQAY,7
a1v2J0000028exHQAQ,9
a1v2J0000028CsyQAE,12
a1v2J0000028fpfQAA,8
a1v2J0000028OZSQA2,8
a1v2J0000038WUsQAM,9
a1v2J0000028M05QAE,8
a1v2J0000027dAAQAY,4
a1v2J0000028kVuQAI,12
a1v2J0000028KFTQA2,5
a1v2J0000027gqzQAA,3
a1v2J0000039W8PQAU,12
a1v2J0000027cuuQAA,7
a1v2J0000028JqqQAE,5
a1v2J000002AG0nQAG,3
a1v2J0000027lDMQAY,1
a1v2J00000288oUQAQ,8
a1v2J000002uRkvQAE,10
a1v2J0000028a1nQAA,7
a1v2J000003WpZZQA0,9
a1v2J0000028OF9QAM,9
a1v2J0000027vKcQAI,1
a1v2J0000027esxQAA,11
a1v2J0000038KNMQA2,7
a1v2J0000039DX4QAM,10
a1v2J0000028SwLQAU,7
a1v2J000003NXK6QAO,3
a1v2J0000028bTBQAY,3
a1v2J00000399waQAA,10
a1v2J0000028eF8QAI,3
a1v2J000003FNd3QAG,6
a1v2J0000028BS3QAM,5
a1v2J0000028L6mQAE,3
a1v2J000002AFU4QAO,5
a1v2J0000027dACQAY,10
a1v2J0000027ZDtQAM,1
a1v2J0000039ySdQAI,2
a1v2J000002fCddQAE,6
a1v2J0000038uWvQAI,12
a1v2J000003B8qcQAC,8
a1v2J000003AUiOQAW,5
a1v2J00000280buQAA,7
a1v2J0000037hvcQAA,7
a1vHt000004kUfQIAU,5
a1v2J0000027dAjQAI,4
a1v2J000002ugdBQAQ,4
a1v2J0000028As3QAE,4
a1v2J0000028KvjQAE,3
a1v2J0000027TeKQAU,6
a1v2J0000027ViJQAU,4
a1v2J000002eoumQAA,6
a1v2J0000028BHTQA2,1
a1v2J0000028AqFQAU,10
a1v2J0000028YH0QAM,3
a1v2J000002egLFQAY,4
a1v2J0000028ZFaQAM,4
a1v2J000002fLebQAE,6
a1v2J000003S38HQAS,8
a1v2J000003A6zrQAC,3
a1v2J0000028f6iQAA,11
a1v2J00000280EfQAI,6
a1v2J0000027tT8QAI,4
a1v2J00000282FFQAY,2
a1v2J000002fABfQAM,6
a1v2J0000038WtrQAE,8
a1v2J0000028DDQQA2,8
a1v2J0000028OtRQAU,4
a1v2J000002fKPXQA2,6
a1v2J0000038ZFAQA2,8
a1v2J0000027kGiQAI,2
a1v2J0000028F4pQAE,1
a1v2J0000027tTDQAY,4
a1v2J00000289AEQAY,8
a1v2J000002egUCQAY,5
a1v2J000002uRqVQAU,2
a1v2J0000027rCFQAY,10
a1v2J0000028VD6QAM,6
a1v2J000002ubJgQAI,4
a1v2J0000027GVZQA2,9
a1v2J000002ehANQAY,7
a1v2J000002fKdNQAU,6
a1v2J0000028fiGQAQ,12
a1v2J0000037huoQAA,9
a1v2J000002fH9cQAE,6
a1v2J0000028N84QAE,7
a1v2J000002uUjZQAU,12
a1v2J000002fMxjQAE,8
a1v2J0000038SKWQA2,8
a1v2J0000038fuUQAQ,9
a1v2J0000027nKvQAI,2
a1v2J000002fNzIQAU,8
a1v2J000002esZRQAY,6
a1v2J0000038kEaQAI,11
a1v2J0000038YQNQA2,9
a1v2J0000038t1NQAQ,10
a1v2J000002ufYyQAI,4
a1v2J0000028XaoQAE,6
a1v2J000002eoojQAA,6
a1v2J0000027rMRQAY,4
a1v2J000003AAV2QAO,4
a1v2J000002esZbQAI,5
a1v2J000003SW4uQAG,9
a1v2J0000027YmuQAE,5
a1v2J0000028Qk1QAE,8
a1v2J000003WJgEQAW,6
a1v2J000003ABaTQAW,3
a1v2J0000027cfhQAA,12
a1v2J000002fNgQQAU,6
a1v2J000002eiplQAA,5
a1v2J0000028cmYQAQ,4
a1v2J000003LPLFQA4,11
a1v2J0000028Au2QAE,3
a1v2J000002uejDQAQ,4
a1v2J0000038XK2QAM,8
a1v2J000003SJLQQA4,10
a1v2J0000027q8jQAA,4
a1v2J0000038YAHQA2,8
a1v2J0000028lGtQAI,10
a1v2J000002uSQEQA2,4
a1v2J000002fNnlQAE,7
a1v2J00000286mlQAA,4
a1v2J000002egMIQAY,4
a1v2J0000038YbKQAU,8
a1v2J0000028HAHQA2,5
a1v2J0000039BvTQAU,11
a1v2J000003LI38QAG,10
a1v2J000003TdSaQAK,1
a1v2J000002fLeqQAE,6
a1v2J0000027pcyQAA,4
a1v2J0000028VeDQAU,4
a1v2J000002uR1fQAE,8
a1v2J0000028WQjQAM,2
a1v2J0000027sW3QAI,5
a1v2J0000038vFvQAI,10
a1v2J0000027TmmQAE,10
a1v2J000003B6AZQA0,7
a1v2J0000028ab7QAA,4
a1v2J0000028AozQAE,4
a1v2J000002uSkcQAE,7
a1v2J0000028CpJQAU,8
a1v2J0000041KHyQAM,9
a1v2J0000039vyqQAA,2
a1v2J00000290XHQAY,2
a1v2J000002eosWQAQ,6
a1v2J000002uTeQQAU,12
a1v2J0000027nuaQAA,3
a1v2J000002ABIAQA4,2
a1v2J0000028XdbQAE,9
a1v2J000002ff2xQAA,5
a1v2J0000027sKnQAI,1
a1v2J0000038S5MQAU,8
a1v2J0000027si8QAA,5
a1v2J0000038SNfQAM,9
a1v2J000002egMDQAY,5
a1v2J000004NuEoQAK,4
a1v2J0000028NBMQA2,11
a1v2J0000027tEqQAI,2
a1v2J00000286T6QAI,4
a1v2J00000392bbQAA,10
a1v2J0000028qYTQAY,4
a1v2J000002853DQAQ,2
a1v2J0000027Ns5QAE,3
a1v2J00000290crQAA,2
a1v2J000003N96hQAC,3
a1v2J000002ABVwQAO,4
a1v2J0000027m0mQAA,2
a1v2J00000289NBQAY,3
a1v2J000002fJtCQAU,6
a1v2J000003TPZHQA4,11
a1v2J0000027V8aQAE,3
a1v2J000002ADgWQAW,2
a1v2J0000027iv2QAA,9
a1v2J0000028LgeQAE,1
a1v2J0000028MNmQAM,4
a1v2J0000028aCfQAI,3
a1v2J0000028gKWQAY,4
a1v2J0000028WxSQAU,5
a1v2J000003FLM4QAO,6
a1v2J0000028AoYQAU,3
a1v2J0000028OGgQAM,11
a1v2J0000038eLYQAY,8
a1v2J0000027i8YQAQ,9
a1v2J0000027tEgQAI,2
a1v2J00000287FwQAI,9
a1v2J0000027esBQAQ,4
a1v2J0000027YfxQAE,11
a1v2J0000028AjPQAU,4
a1v2J0000027wbIQAQ,3
a1v2J0000028MCfQAM,3
a1v2J00000289qYQAQ,2
a1v2J0000028H9FQAU,4
a1v2J0000028aD9QAI,5
a1v2J0000027HExQAM,4
a1v2J0000028eznQAA,4
a1v2J0000028AWyQAM,4
a1v2J000002AFvXQAW,4
a1v2J0000028LldQAE,4
a1v2J0000028DKVQA2,1
a1v2J0000028eZMQAY,1
a1v2J00000281SgQAI,1
a1v2J000002AErlQAG,2
a1v2J0000028e2eQAA,7
a1v2J0000028D92QAE,9
a1v2J0000027VX7QAM,5
a1v2J0000028WUAQA2,3
a1v2J000002AEW9QAO,4
a1v2J0000027f07QAA,10
a1v2J000002uglZQAQ,5
a1v2J000002cddgQAA,3
a1v2J0000027panQAA,2
a1v2J0000027pdOQAQ,4
a1v2J0000027YQ9QAM,9
a1v2J0000028qYxQAI,4
a1v2J0000038dl4QAA,8
a1v2J0000028HZfQAM,2
a1v2J0000028z5QQAQ,2
a1v2J0000028ctOQAQ,4
a1v2J000002ACF7QAO,3
a1v2J000002fAC4QAM,6
a1v2J0000028DLvQAM,1
a1v2J000002ADybQAG,7
a1v2J0000028CchQAE,4
a1v2J00000284ijQAA,5
a1v2J0000028KwhQAE,5
a1v2J00000289MOQAY,3
a1v2J000002ABwSQAW,5
a1v2J000003LQi9QAG,12
a1v2J0000027rGrQAI,6
a1v2J00000291Z7QAI,8
a1v2J0000028lBhQAI,1
a1v2J000003LAo5QAG,9
a1v2J0000027vvbQAA,2
a1v2J0000027tQUQAY,4
a1v2J0000028JpXQAU,7
a1v2J00000283bJQAQ,3
a1v2J0000028abPQAQ,4
a1v2J0000028VfUQAU,4
a1v2J0000027ruPQAQ,5
a1v2J000002uQyNQAU,3
a1v2J0000038WATQA2,8
a1v2J0000027ZqdQAE,2
a1v2J0000027rncQAA,10
a1v2J0000027nGBQAY,7
a1v2J000002ueovQAA,4
a1v2J0000027rolQAA,4
a1v2J0000028LcXQAU,6
a1v2J0000028oorQAA,3
a1v2J00000281TzQAI,8
a1v2J0000027KBtQAM,3
a1v2J0000027rb3QAA,7
a1v2J0000028SN5QAM,11
a1v2J000002uQNvQAM,6
a1v2J0000028f4yQAA,6
a1v2J0000027v1GQAQ,12
a1v2J0000027t1pQAA,2
a1v2J0000027tfSQAQ,11
a1v2J00000289BtQAI,2
a1v2J000002ug91QAA,4
a1v2J0000028WdaQAE,11
a1v2J0000028IbrQAE,6
a1v2J0000028DKmQAM,8
a1v2J000002uT8CQAU,4
a1v2J0000027xFIQAY,9
a1v2J0000028eb8QAA,7
a1v2J00000283KxQAI,8
a1v2J0000028FzFQAU,2
a1v2J0000027UpqQAE,3
a1v2J0000028nYdQAI,9
a1v2J00000284YyQAI,7
a1v2J0000027yseQAA,7
a1v2J0000027beIQAQ,3
a1v2J0000028YNDQA2,4
a1v2J0000028bUwQAI,2
a1v2J000003WO3NQAW,6
a1v2J000003AAjOQAW,3
a1v2J00000282i5QAA,5
a1v2J0000028CKZQA2,6
a1v2J000002AFc8QAG,6
a1v2J000002863bQAA,7
a1v2J000002fNFOQA2,7
a1v2J0000027zaoQAA,6
a1v2J0000028Q20QAE,6
a1v2J0000027v10QAA,1
a1v2J00000282AxQAI,5
a1v2J00000282QkQAI,7
a1v2J0000027m2BQAQ,2
a1v2J0000028eqsQAA,1
a1v2J0000028DvqQAE,8
a1v2J0000027w0gQAA,9
a1v2J000002f01LQAQ,6
a1v2J000002uQjOQAU,1
a1v2J000002uUjoQAE,5
a1v2J0000027GURQA2,7
a1v2J0000027vBfQAI,2
a1v2J00000282dPQAQ,8
a1v2J0000027mHLQAY,8
a1v2J000002eorxQAA,5
a1v2J0000028ootQAA,3
a1v2J0000028WgQQAU,2
a1v2J0000027qKAQAY,6
a1v2J0000027yrjQAA,4
a1v2J0000028GpvQAE,2
a1v2J0000027thJQAQ,7
a1v2J0000028MOOQA2,4
a1v2J0000028jCmQAI,12
a1v2J0000028A44QAE,4
a1v2J0000038jRgQAI,9
a1v2J0000027XlrQAE,2
a1v2J0000027xuVQAQ,11
a1v2J0000028Fz5QAE,3
a1v2J0000027wGKQAY,2
a1v2J0000039OW0QAM,11
a1v2J000002AFxiQAG,7
a1v2J0000028PGvQAM,1
a1v2J0000027eVRQAY,1
a1v2J0000027viRQAQ,11
a1v2J0000028KWYQA2,6
a1v2J0000028EGoQAM,8
a1v2J00000286zKQAQ,11
a1v2J000002AFanQAG,2
a1v2J000002ABJGQA4,7
a1v2J0000028PprQAE,2
a1v2J000002uUB2QAM,7
a1v2J0000027tXXQAY,9
a1v2J0000028GIFQA2,5
a1v2J00000288I0QAI,4
a1v2J0000028ZVbQAM,12
a1v2J000002fNNgQAM,7
a1v2J0000028dHaQAI,1
a1v2J0000028M9tQAE,2
a1v2J000002ABfvQAG,1
a1v2J000002uRJhQAM,8
a1v2J00000280hyQAA,8
a1v2J0000028pXBQAY,2
a1v2J0000028H2QQAU,1
a1v2J0000028ia1QAA,12
a1v2J00000287CRQAY,9
a1v2J0000027vvdQAA,1
a1v2J000003LBOLQA4,9
a1v2J0000027dshQAA,2
a1v2J0000028z5jQAA,10
a1v2J0000027q7AQAQ,11
a1v2J0000027xg8QAA,6
a1v2J0000027xhFQAQ,8
a1v2J0000028YysQAE,1
a1v2J00000284T9QAI,10
a1v2J0000027rH9QAI,2
a1v2J0000028eO1QAI,9
a1v2J0000028Z2rQAE,3
a1v2J0000028Jz9QAE,3
a1v2J0000028M6OQAU,4
a1v2J0000027gf7QAA,10
a1v2J00000290bMQAQ,7
a1v2J0000027mIlQAI,9
a1v2J0000028SfhQAE,5
a1v2J000002uUSuQAM,6
a1v2J0000027Vi0QAE,4
a1v2J0000027v06QAA,11
a1v2J00000288k7QAA,5
a1v2J000002ACCHQA4,6
a1v2J00000285BGQAY,4
a1v2J0000027Us2QAE,4
a1v2J00000288TjQAI,5
a1v2J0000028J9tQAE,5
a1v2J000002uTlWQAU,5
a1v2J0000028X6mQAE,3
a1v2J00000283CFQAY,11
a1v2J0000027sGaQAI,2
a1v2J0000027YXRQA2,11
a1v2J0000027y2QQAQ,9
a1v2J0000027XpHQAU,3
a1v2J0000028TkQQAU,5
a1v2J0000027qlpQAA,6
a1v2J0000028GHtQAM,2
a1v2J00000289GaQAI,11
a1v2J0000028W3uQAE,12
a1v2J0000027YoMQAU,10
a1v2J000002AB4gQAG,9
a1v2J000003AOo2QAG,5
a1v2J0000027uYmQAI,11
a1v2J0000028HFZQA2,4
a1v2J00000280qmQAA,6
a1v2J000002AFUEQA4,5
a1v2J0000028c2OQAQ,2
a1v2J0000039Wz8QAE,12
a1v2J0000028YvTQAU,5
a1v2J0000028AoNQAU,2
a1v2J000002AFTYQA4,5
a1v2J0000027w8SQAQ,7
a1v2J00000283kWQAQ,2
a1v2J000003Tjf0QAC,12
a1v2J000002uQSWQA2,5
a1v2J0000028VdzQAE,4
a1v2J0000028M9mQAE,9
a1v2J0000027zFJQAY,5
a1v2J0000027z7eQAA,4
a1v2J0000028QeHQAU,5
a1v2J000002fL2QQAU,6
a1v2J0000027eyPQAQ,5
a1v2J0000027sLKQAY,7
a1v2J000002uQxlQAE,4
a1v2J0000027wkLQAQ,11
a1v2J0000027ubwQAA,7
a1v2J0000028pWaQAI,2
a1v2J000002uSJMQA2,5
a1v2J000002uU7GQAU,7
a1v2J0000028ULfQAM,11
a1v2J000002ABGqQAO,4
a1v2J0000028LhZQAU,6
a1v2J00000286yWQAQ,8
a1v2J0000028KRHQA2,9
a1v2J0000027yt0QAA,9
a1v2J0000028LixQAE,6
a1v2J000002AE00QAG,5
a1v2J00000281oUQAQ,7
a1v2J0000027lbFQAQ,3
a1v2J0000028e26QAA,7
a1v2J000003WqujQAC,8
a1v2J0000027xGDQAY,8
a1v2J000002AGMGQA4,4
a1v2J0000027gGjQAI,7
a1v2J0000038eIFQAY,8
a1v2J000002845PQAQ,4
a1v2J0000028VIoQAM,10
a1v2J0000028RuJQAU,7
a1v2J00000288TfQAI,12
a1v2J00000282FLQAY,8
a1v2J0000027TtgQAE,3
a1v2J00000284UOQAY,9
a1v2J0000038vRNQAY,9
a1v2J0000038cwzQAA,8
a1v2J000002ADyxQAG,5
a1v2J0000038cwaQAA,8
a1v2J000002uT8xQAE,9
a1v2J0000027zcQQAQ,6
a1v2J000002fEw8QAE,5
a1v2J000002801BQAQ,10
a1v2J0000027TvCQAU,5
a1v2J000002AGFyQAO,7
a1v2J000002uSBcQAM,9
a1v2J0000027XncQAE,10
a1v2J00000283aPQAQ,4
a1v2J0000027uTPQAY,4
a1v2J0000039XYLQA2,12
a1v2J000002ufN7QAI,4
a1v2J000003S649QAC,8
a1v2J0000028ebrQAA,10
a1v2J000002AGBFQA4,11
a1v2J0000028Gj4QAE,9
a1v2J0000028WxoQAE,5
a1v2J0000028MO6QAM,10
a1v2J000003LFe3QAG,9
a1v2J00000289IXQAY,9
a1v2J0000028LyVQAU,2
a1v2J00000287iFQAQ,3
a1v2J0000027mJaQAI,9
a1v2J000002807LQAQ,6
a1v2J0000028K35QAE,7
a1v2J0000028CtNQAU,9
a1v2J0000027uDkQAI,8
a1v2J000003WkbcQAC,7
a1vHt000004gb14IAA,12
a1v2J0000027VgCQAU,2
a1v2J0000028mvEQAQ,8
a1v2J0000039QvbQAE,12
a1v2J0000027YQAQA2,12
a1v2J000004Ea3iQAC,1
a1v2J0000027WnOQAU,8
a1v2J0000027p6dQAA,8
a1v2J0000028GK3QAM,11
a1v2J00000391JKQAY,12
a1v2J0000028QIMQA2,3
a1v2J000002ADxdQAG,4
a1v2J0000027yTKQAY,7
a1v2J0000028rVoQAI,2
a1v2J0000028NyQQAU,9
a1v2J00000289J7QAI,8
a1v2J00000391lYQAQ,10
a1v2J0000028gBYQAY,2
a1v2J00000282vFQAQ,11
a1v2J000003AOnnQAG,4
a1v2J00000281mqQAA,3
a1v2J0000028e8eQAA,9
a1v2J0000027kxxQAA,11
a1v2J0000027UFmQAM,6
a1v2J000002uULhQAM,3
a1v2J000002eipWQAQ,5
a1v2J0000027bfpQAA,5
a1v2J000002888sQAA,3
a1v2J0000027xEjQAI,10
a1v2J0000028M32QAE,9
a1v2J0000037hoRQAQ,7
a1v2J000003jMwEQAU,4
a1v2J000002AGGcQAO,11
a1v2J0000028p0cQAA,2
a1v2J0000028jfNQAQ,11
a1v2J000002uRFjQAM,12
a1v2J000002ug8cQAA,4
a1v2J000002eh5hQAA,5
a1v2J000002ABfhQAG,12
a1v2J0000027gIrQAI,11
a1v2J0000027wGNQAY,4
a1v2J000002eh5DQAQ,6
a1v2J0000028PV4QAM,2
a1v2J000002uaOaQAI,3
a1v2J0000028OUjQAM,1
a1v2J0000028POPQA2,3
a1v2J00000391P8QAI,10
a1v2J000002uUSPQA2,2
a1v2J000002fKNbQAM,6
a1v2J0000028W8cQAE,6
a1v2J000003lFKuQAM,4
a1v2J00000285AKQAY,7
a1v2J00000283mlQAA,1
a1v2J00000284cpQAA,3
a1v2J00000391MdQAI,10
a1v2J0000028e9bQAA,4
a1v2J000002fCcBQAU,7
a1v2J000002fMwCQAU,7
a1v2J000002uQMuQAM,6
a1v2J0000027tYVQAY,7
a1v2J0000027X59QAE,8
a1v2J0000038NBzQAM,7
a1v2J000003LH2lQAG,10
a1v2J0000028e4gQAA,5
a1v2J000002efG8QAI,9
a1v2J000002egBPQAY,5
a1v2J0000028BKgQAM,5
a1v2J0000037hsxQAA,7
a1v2J000003LGKaQAO,9
a1v2J0000028MChQAM,2
a1v2J0000027lK5QAI,3
a1v2J000002fJS2QAM,6
a1v2J0000028BnFQAU,6
a1v2J000002fNLuQAM,6
a1v2J0000027uXGQAY,7
a1v2J000002fNz3QAE,7
